episode,total_reward,coverage_pct,steps,total_collisions,terminated
3,173.8,1.0,407,12,True
4,202.29999999999998,1.0,304,4,True
5,193.19999999999996,1.0,368,3,True
6,166.09999999999997,1.0,468,4,True
7,-42.90000000000013,0.96875,500,14,False
8,168.49999999999991,1.0,452,8,True
9,-24.950000000000067,0.984375,500,5,False
10,-40.60000000000003,0.96875,500,3,False
11,183.89999999999998,1.0,416,2,True
12,180.0,1.0,382,10,True
13,181.49999999999994,1.0,408,4,True
14,211.09999999999994,1.0,276,3,True
15,188.10000000000002,1.0,355,3,True
16,186.4,1.0,352,7,True
17,194.0,1.0,295,6,True
18,158.89999999999992,1.0,477,3,True
19,209.4999999999999,1.0,277,7,True
20,196.9,1.0,322,3,True
21,206.7999999999999,1.0,315,5,True
22,-49.35000000000011,0.984375,500,4,False
23,147.59999999999982,1.0,489,3,True
24,201.89999999999992,1.0,287,0,True
25,-50.85000000000014,0.984375,500,1,False
26,-55.95000000000015,0.984375,500,17,False
27,-49.45000000000015,0.984375,500,2,False
28,174.90000000000003,1.0,361,2,True
29,140.49999999999991,1.0,479,2,True
30,162.70000000000005,1.0,398,3,True
31,188.5,1.0,319,13,True
32,-60.350000000000094,0.984375,500,28,False
33,179.39999999999998,1.0,339,10,True
34,225.69999999999993,1.0,180,4,True
35,-96.55000000000008,0.921875,500,24,False
36,-82.35000000000008,0.984375,500,19,False
37,143.5999999999999,1.0,452,5,True
38,-120.20000000000003,0.8125,500,47,False
39,203.39999999999998,1.0,284,0,True
40,-51.55000000000011,0.984375,500,5,False
41,223.29999999999993,1.0,215,3,True
42,206.3,1.0,239,0,True
43,-46.500000000000156,0.96875,500,0,False
44,214.7999999999999,1.0,243,2,True
45,172.9,1.0,323,2,True
46,120.09999999999998,1.0,484,2,True
47,168.89999999999995,1.0,378,4,True
48,204.29999999999993,1.0,311,2,True
49,-80.35000000000011,0.953125,500,3,False
50,210.29999999999998,1.0,272,6,True
51,204.79999999999998,1.0,249,0,True
52,-61.25000000000026,0.953125,500,20,False
53,201.2999999999999,1.0,328,5,True
54,156.79999999999998,1.0,468,0,True
55,166.79999999999993,1.0,373,0,True
56,145.19999999999996,1.0,440,6,True
57,-38.85000000000008,0.953125,500,6,False
58,199.09999999999994,1.0,320,1,True
59,187.79999999999995,1.0,364,7,True
60,-48.65000000000024,0.984375,500,2,False
61,-28.500000000000078,0.96875,500,7,False
62,155.2999999999998,1.0,453,4,True
63,204.39999999999995,1.0,342,0,True
64,-17.30000000000013,0.96875,500,9,False
65,187.49999999999997,1.0,419,8,True
66,-32.00000000000014,0.953125,500,5,False
67,-22.149999999999956,0.984375,500,0,False
68,-17.450000000000145,0.953125,500,15,False
69,-45.40000000000016,0.9375,500,0,False
70,-113.60000000000007,0.71875,500,54,False
71,222.69999999999987,1.0,218,4,True
72,-42.15000000000024,0.890625,500,15,False
73,-86.80000000000003,0.96875,500,9,False
74,-21.80000000000005,0.96875,500,3,False
75,-23.100000000000026,0.96875,500,10,False
76,-12.95000000000017,0.890625,500,7,False
77,-25.500000000000195,0.90625,500,0,False
78,-20.700000000000227,0.90625,500,33,False
79,-67.29999999999991,0.96875,500,13,False
80,173.49999999999991,1.0,472,1,True
81,-36.40000000000012,0.96875,500,2,False
82,160.19999999999976,1.0,450,3,True
83,-12.30000000000017,0.875,500,5,False
84,-46.15000000000017,0.890625,500,17,False
85,189.3999999999998,1.0,393,4,True
86,-6.900000000000289,0.96875,500,5,False
87,-80.20000000000007,0.90625,500,3,False
88,-11.500000000000192,0.875,500,19,False
89,-55.45000000000021,0.859375,500,4,False
90,-3.6500000000002024,0.984375,500,11,False
91,-5.750000000000232,0.984375,500,8,False
92,-22.600000000000037,0.8125,500,15,False
93,-82.25000000000011,0.828125,500,0,False
94,-69.70000000000013,0.875,500,1,False
95,-7.1500000000002615,0.859375,500,7,False
96,-35.75000000000019,0.921875,500,11,False
97,-14.700000000000198,0.75,500,0,False
98,-37.950000000000145,0.765625,500,0,False
99,-14.000000000000128,0.84375,500,11,False
100,-20.20000000000013,0.75,500,17,False
101,-11.700000000000227,0.75,500,10,False
102,-66.84999999999998,0.859375,500,0,False
103,-26.60000000000007,0.875,500,9,False
104,-21.000000000000153,0.84375,500,8,False
105,-10.400000000000198,0.78125,500,12,False
106,-20.750000000000167,0.859375,500,42,False
107,-93.20000000000014,0.6875,500,0,False
108,-14.550000000000265,0.765625,500,17,False
109,-15.050000000000201,0.78125,500,0,False
110,-1.8500000000003132,0.890625,500,12,False
111,-20.200000000000234,0.75,500,20,False
112,-42.15000000000017,0.640625,500,18,False
113,-12.050000000000182,0.921875,500,2,False
114,-136.04999999999959,0.703125,500,1,False
115,-15.050000000000205,0.796875,500,24,False
116,-64.7999999999999,0.65625,500,2,False
117,-8.750000000000204,0.703125,500,5,False
118,-30.450000000000117,0.703125,500,0,False
119,-2.050000000000331,0.765625,500,0,False
120,1.2999999999995877,0.84375,500,0,False
121,-25.450000000000102,0.734375,500,25,False
122,-18.100000000000033,0.71875,500,0,False
123,-8.100000000000179,0.78125,500,6,False
124,-21.200000000000067,0.9375,500,2,False
125,-10.000000000000254,0.671875,500,6,False
126,-77.29999999999943,0.46875,500,18,False
127,-47.55000000000028,0.609375,500,58,False
128,-9.700000000000204,0.71875,500,8,False
129,-14.150000000000166,0.609375,500,3,False
130,-9.550000000000082,0.765625,500,13,False
131,-24.750000000000142,0.671875,500,33,False
132,-12.100000000000252,0.71875,500,12,False
133,-60.800000000000196,0.78125,500,0,False
134,-11.800000000000303,0.78125,500,21,False
135,-5.450000000000333,0.734375,500,0,False
136,-42.10000000000032,0.90625,500,2,False
137,-16.100000000000076,0.75,500,24,False
138,-23.000000000000274,0.75,500,30,False
139,-11.10000000000023,0.625,500,0,False
140,-1.7500000000002085,0.796875,500,2,False
141,-79.69999999999987,0.75,500,0,False
142,-31.80000000000016,0.65625,500,3,False
143,-106.64999999999978,0.765625,500,0,False
144,-36.70000000000024,0.65625,500,50,False
145,-4.500000000000345,0.875,500,13,False
146,-7.150000000000305,0.796875,500,12,False
147,-14.850000000000144,0.640625,500,8,False
148,-8.750000000000023,0.828125,500,20,False
149,-13.600000000000186,0.65625,500,0,False
150,-29.650000000000215,0.609375,500,0,False
151,-122.4,0.65625,500,0,False
152,-4.300000000000228,0.78125,500,0,False
153,-42.3500000000003,0.515625,500,48,False
154,-7.7000000000001485,0.71875,500,0,False
155,-24.900000000000208,0.78125,500,48,False
156,-17.45000000000017,0.640625,500,0,False
157,-10.250000000000197,0.640625,500,0,False
158,-10.30000000000017,0.65625,500,0,False
159,-31.400000000000237,0.8125,500,7,False
160,-54.250000000000156,0.609375,500,2,False
161,-14.75000000000025,0.765625,500,17,False
162,-9.800000000000217,0.71875,500,10,False
163,-39.50000000000022,0.6875,500,64,False
164,-172.25000000000088,0.671875,500,57,False
