episode,total_reward,coverage_pct,steps,total_collisions,terminated
1,-50.950000000000095,0.984375,500,14,False
2,-60.90000000000011,0.84375,500,21,False
3,207.4999999999999,1.0,303,2,True
4,201.39999999999998,1.0,312,7,True
5,-64.80000000000007,0.90625,500,21,False
6,-58.650000000000105,0.921875,500,3,False
7,-51.45000000000012,0.984375,500,10,False
8,-55.350000000000094,0.984375,500,18,False
9,-59.95000000000008,0.921875,500,14,False
10,-50.05000000000008,0.953125,500,5,False
11,-48.450000000000195,0.921875,500,5,False
12,-87.45000000000012,0.921875,500,44,False
13,169.39999999999995,1.0,467,4,True
14,164.69999999999985,1.0,499,8,True
15,166.29999999999995,1.0,431,1,True
16,224.49999999999991,1.0,205,0,True
17,195.59999999999994,1.0,348,1,True
18,-45.40000000000015,0.96875,500,7,False
19,228.79999999999993,1.0,180,1,True
20,-47.850000000000115,0.984375,500,10,False
21,187.59999999999997,1.0,363,7,True
22,-50.75000000000015,0.984375,500,2,False
23,-45.4000000000001,0.96875,500,11,False
24,-39.500000000000085,0.96875,500,8,False
25,-47.550000000000175,0.921875,500,11,False
26,-60.85000000000012,0.921875,500,5,False
27,-40.450000000000145,0.984375,500,2,False
28,189.6999999999999,1.0,356,6,True
29,-58.35000000000012,0.984375,500,14,False
30,-61.55000000000006,0.890625,500,14,False
31,-56.45000000000009,0.953125,500,8,False
32,165.49999999999997,1.0,461,8,True
33,193.9,1.0,317,7,True
34,-55.05000000000013,0.953125,500,1,False
35,169.99999999999991,1.0,418,2,True
36,173.89999999999992,1.0,453,1,True
37,178.20000000000002,1.0,345,13,True
38,187.99999999999994,1.0,387,0,True
39,-59.70000000000017,0.875,500,16,False
40,196.09999999999994,1.0,309,10,True
41,-43.050000000000075,0.984375,500,2,False
42,-40.0500000000001,0.984375,500,1,False
43,211.99999999999991,1.0,255,1,True
44,175.19999999999996,1.0,408,7,True
45,170.19999999999996,1.0,415,11,True
46,198.0999999999999,1.0,315,10,True
47,171.79999999999998,1.0,355,15,True
48,38.70000000000001,0.25,501,489,False
49,163.39999999999995,1.0,480,7,True
50,-47.50000000000016,0.96875,500,5,False
51,202.59999999999985,1.0,301,8,True
52,-42.25000000000013,0.984375,500,8,False
53,-34.2500000000001,0.984375,500,4,False
54,195.2,1.0,331,1,True
55,-44.90000000000012,0.9375,500,7,False
56,-58.25000000000015,0.890625,500,12,False
57,208.29999999999998,1.0,258,0,True
58,206.64999999999998,1.0,271,11,True
59,210.9999999999999,1.0,284,1,True
60,-51.50000000000005,0.9375,500,19,False
61,170.39999999999998,1.0,427,6,True
62,154.0999999999999,1.0,430,20,True
63,196.8999999999999,1.0,347,4,True
64,190.99999999999997,1.0,305,10,True
65,201.19999999999996,1.0,316,4,True
66,231.39999999999998,1.0,158,1,True
67,174.8,1.0,366,6,True
68,209.7,1.0,273,1,True
69,210.89999999999998,1.0,234,0,True
70,169.39999999999998,1.0,428,7,True
