episode,total_reward,coverage_pct,steps,total_collisions,terminated
1,177.59999999999997,1.0,400,5,True
2,177.39999999999998,1.0,429,5,True
3,162.99999999999986,1.0,497,0,True
4,184.2,1.0,419,3,True
5,181.79999999999998,1.0,382,5,True
6,-39.85000000000011,0.984375,500,3,False
7,158.0,1.0,493,5,True
8,-37.30000000000011,0.96875,500,7,False
9,-33.250000000000064,0.984375,500,2,False
10,199.60000000000002,1.0,301,5,True
11,-32.45000000000006,0.984375,500,3,False
12,176.09999999999997,1.0,423,9,True
13,-43.850000000000094,0.984375,500,9,False
14,-45.55000000000013,0.984375,500,6,False
15,-36.850000000000094,0.984375,500,6,False
16,193.49999999999991,1.0,360,4,True
17,162.8999999999999,1.0,486,8,True
18,180.19999999999993,1.0,451,9,True
19,-41.950000000000074,0.984375,500,12,False
20,-36.25000000000009,0.953125,500,4,False
21,199.49999999999997,1.0,331,9,True
22,198.19999999999993,1.0,304,1,True
23,219.09999999999997,1.0,212,0,True
24,189.29999999999998,1.0,375,1,True
25,-42.35000000000007,0.953125,500,5,False
26,-33.05000000000006,0.984375,500,0,False
27,160.29999999999995,1.0,470,3,True
28,-36.05000000000013,0.984375,500,10,False
29,163.5999999999999,1.0,470,15,True
30,-47.050000000000075,0.984375,500,1,False
31,-44.400000000000105,0.96875,500,8,False
32,212.39999999999992,1.0,284,2,True
33,181.9,1.0,397,4,True
34,-37.650000000000055,0.953125,500,9,False
35,200.29999999999998,1.0,284,8,True
36,-35.65000000000014,0.984375,500,25,False
37,167.29999999999993,1.0,481,8,True
38,-40.60000000000005,0.9375,500,8,False
39,-29.44999999999999,0.984375,500,9,False
40,-33.450000000000095,0.953125,500,7,False
41,-31.300000000000008,0.96875,500,9,False
42,-34.600000000000065,0.96875,500,5,False
43,-35.7500000000001,0.984375,500,3,False
44,185.89999999999998,1.0,403,4,True
45,167.29999999999998,1.0,448,7,True
46,168.0999999999999,1.0,462,9,True
47,-36.25000000000006,0.953125,500,12,False
48,177.29999999999995,1.0,401,0,True
49,197.29999999999995,1.0,320,5,True
50,196.09999999999997,1.0,323,8,True
51,-34.45000000000009,0.984375,500,3,False
52,166.3,1.0,487,6,True
53,211.29999999999998,1.0,253,1,True
54,-36.85000000000008,0.984375,500,11,False
55,196.09999999999994,1.0,352,4,True
56,-44.250000000000085,0.984375,500,10,False
57,-43.550000000000054,0.984375,500,11,False
58,196.89999999999995,1.0,343,6,True
59,202.69999999999996,1.0,301,8,True
60,221.69999999999993,1.0,214,0,True
61,-33.35000000000006,0.984375,500,4,False
62,-35.15000000000012,0.984375,500,13,False
63,222.19999999999993,1.0,198,7,True
64,-33.650000000000084,0.96875,500,8,False
65,199.99999999999991,1.0,325,1,True
66,182.29999999999995,1.0,383,3,True
67,199.29999999999993,1.0,346,10,True
68,167.5999999999999,1.0,488,7,True
