episode,total_reward,coverage_pct,steps,total_collisions,terminated
1,192.69999999999996,1.0,357,1,True
2,199.59999999999994,1.0,371,2,True
3,225.7,1.0,183,1,True
4,199.19999999999996,1.0,289,1,True
5,-48.80000000000013,0.90625,500,9,False
6,-46.25000000000011,0.984375,500,7,False
7,188.6,1.0,363,6,True
8,-41.150000000000034,0.984375,500,5,False
9,200.09999999999997,1.0,318,3,True
10,205.79999999999995,1.0,275,0,True
11,-39.50000000000005,0.96875,500,11,False
12,-38.25000000000008,0.984375,500,1,False
13,206.1,1.0,269,5,True
14,-45.75000000000008,0.953125,500,5,False
15,161.99999999999997,1.0,485,8,True
16,184.69999999999996,1.0,400,9,True
17,179.09999999999994,1.0,419,8,True
18,214.29999999999998,1.0,251,0,True
19,-38.30000000000008,0.984375,500,6,False
20,-35.350000000000094,0.953125,500,9,False
21,-37.750000000000114,0.984375,500,10,False
22,-40.75000000000004,0.984375,500,1,False
23,176.79999999999998,1.0,406,2,True
24,-32.75000000000008,0.984375,500,8,False
25,228.69999999999987,1.0,204,3,True
26,210.6,1.0,278,0,True
27,196.19999999999996,1.0,349,1,True
28,-36.05000000000008,0.984375,500,4,False
29,186.29999999999998,1.0,387,5,True
30,-33.35000000000011,0.984375,500,4,False
31,-47.95000000000013,0.890625,500,9,False
32,232.49999999999991,1.0,173,4,True
33,-38.55000000000011,0.984375,500,15,False
34,171.2999999999999,1.0,492,9,True
35,202.49999999999994,1.0,313,2,True
36,-42.75000000000011,0.984375,500,8,False
37,205.79999999999998,1.0,304,6,True
38,198.60000000000002,1.0,298,0,True
39,214.29999999999993,1.0,234,4,True
40,-39.45000000000011,0.984375,500,14,False
41,176.09999999999994,1.0,427,6,True
42,-43.80000000000012,0.96875,500,6,False
43,197.29999999999995,1.0,348,4,True
44,190.99999999999997,1.0,335,11,True
45,198.7,1.0,338,4,True
46,193.74999999999997,1.0,331,15,True
47,189.59999999999997,1.0,399,10,True
48,177.59999999999997,1.0,427,6,True
49,187.79999999999993,1.0,369,9,True
50,194.09999999999994,1.0,353,19,True
51,175.79999999999995,1.0,456,7,True
52,175.1,1.0,388,4,True
53,175.20000000000005,1.0,436,11,True
54,180.49999999999997,1.0,439,2,True
55,202.7,1.0,307,1,True
56,219.79999999999993,1.0,220,3,True
57,197.79999999999995,1.0,311,10,True
58,-39.250000000000114,0.984375,500,13,False
59,164.0999999999999,1.0,494,3,True
60,212.29999999999993,1.0,283,1,True
61,189.7999999999999,1.0,380,3,True
62,157.29999999999995,1.0,494,4,True
63,182.39999999999995,1.0,380,11,True
64,183.29999999999995,1.0,431,4,True
65,226.99999999999991,1.0,199,0,True
66,220.29999999999995,1.0,224,2,True
67,188.89999999999992,1.0,414,7,True
68,167.39999999999995,1.0,479,8,True
69,204.19999999999993,1.0,273,3,True
70,187.49999999999991,1.0,413,4,True
71,-44.05000000000017,0.984375,500,11,False
72,164.99999999999994,1.0,425,25,True
73,-46.10000000000021,0.96875,500,13,False
74,-47.45000000000006,0.984375,500,8,False
75,211.09999999999994,1.0,251,8,True
76,-35.85000000000004,0.984375,500,4,False
77,189.19999999999996,1.0,333,14,True
78,-29.350000000000097,0.984375,500,3,False
79,178.50000000000003,1.0,448,5,True
80,183.90000000000003,1.0,397,3,True
81,175.6,1.0,469,1,True
82,184.49999999999997,1.0,428,11,True
83,172.89999999999992,1.0,480,11,True
84,-46.900000000000084,0.96875,500,2,False
85,206.59999999999997,1.0,235,12,True
86,165.4999999999999,1.0,465,7,True
87,203.09999999999994,1.0,327,5,True
88,175.0999999999999,1.0,446,6,True
89,220.7999999999999,1.0,234,3,True
90,183.99999999999991,1.0,396,0,True
91,182.79999999999993,1.0,418,5,True
92,194.9,1.0,333,7,True
93,-36.85000000000009,0.984375,500,13,False
94,203.9,1.0,273,11,True
95,187.69999999999996,1.0,390,3,True
96,-39.350000000000065,0.984375,500,3,False
97,206.1,1.0,267,1,True
98,231.89999999999998,1.0,150,3,True
99,212.29999999999993,1.0,273,1,True
100,222.59999999999997,1.0,211,1,True
101,-34.90000000000013,0.9375,500,7,False
102,230.0999999999999,1.0,189,4,True
103,177.2,1.0,434,3,True
104,186.59999999999997,1.0,373,12,True
105,-26.750000000000135,0.984375,500,8,False
106,210.49999999999997,1.0,243,12,True
107,-30.050000000000086,0.984375,500,7,False
108,-44.20000000000014,0.96875,500,10,False
109,-46.90000000000009,0.96875,500,16,False
110,211.69999999999996,1.0,260,0,True
111,-39.25000000000004,0.984375,500,11,False
112,-33.15000000000013,0.984375,500,8,False
113,205.69999999999993,1.0,300,6,True
114,202.19999999999987,1.0,329,7,True
115,192.5999999999999,1.0,385,5,True
116,-34.10000000000003,0.96875,500,7,False
117,224.2999999999999,1.0,196,1,True
118,218.39999999999992,1.0,222,4,True
119,201.99999999999997,1.0,288,4,True
120,-28.45000000000008,0.984375,500,1,False
121,-29.750000000000156,0.984375,500,8,False
122,209.39999999999995,1.0,267,0,True
123,185.0999999999999,1.0,431,6,True
124,223.29999999999984,1.0,258,0,True
125,187.49999999999991,1.0,417,11,True
126,162.89999999999992,1.0,470,12,True
127,175.7999999999999,1.0,489,1,True
128,221.59999999999994,1.0,213,5,True
129,-39.20000000000013,0.96875,500,5,False
130,196.99999999999994,1.0,325,3,True
131,-37.95000000000009,0.984375,500,19,False
132,199.89999999999998,1.0,314,3,True
133,172.09999999999997,1.0,408,1,True
134,177.29999999999995,1.0,423,3,True
135,222.89999999999995,1.0,220,2,True
136,221.19999999999987,1.0,234,0,True
137,-36.550000000000146,0.984375,500,4,False
138,-30.650000000000098,0.984375,500,6,False
139,206.69999999999993,1.0,310,2,True
140,-30.000000000000075,0.96875,500,7,False
141,202.59999999999997,1.0,279,6,True
142,177.39999999999992,1.0,450,7,True
143,182.99999999999991,1.0,457,5,True
144,228.59999999999994,1.0,175,2,True
145,213.39999999999992,1.0,264,2,True
146,220.19999999999993,1.0,227,4,True
147,220.3999999999999,1.0,218,0,True
148,220.8999999999999,1.0,242,1,True
149,193.6,1.0,325,7,True
150,-35.500000000000135,0.96875,500,20,False
151,171.09999999999994,1.0,473,2,True
152,-36.9500000000001,0.984375,500,14,False
153,196.69999999999993,1.0,359,8,True
154,205.99999999999997,1.0,283,4,True
155,-38.350000000000136,0.984375,500,2,False
156,212.2999999999999,1.0,278,1,True
157,-32.35000000000008,0.984375,500,1,False
158,159.29999999999987,1.0,490,19,True
159,212.39999999999998,1.0,265,3,True
160,223.89999999999995,1.0,211,2,True
161,-33.75000000000011,0.984375,500,10,False
162,212.6999999999999,1.0,270,0,True
163,230.69999999999993,1.0,167,7,True
164,225.09999999999994,1.0,202,3,True
165,-42.8500000000001,0.953125,500,12,False
166,-36.30000000000011,0.96875,500,12,False
167,201.99999999999994,1.0,308,0,True
168,199.39999999999992,1.0,336,4,True
169,232.2999999999999,1.0,182,4,True
170,198.8999999999999,1.0,367,3,True
171,202.19999999999996,1.0,320,9,True
172,169.7999999999999,1.0,454,8,True
173,198.70000000000002,1.0,332,11,True
174,178.89999999999995,1.0,405,18,True
175,210.7999999999999,1.0,274,4,True
176,169.89999999999995,1.0,490,10,True
177,-40.75000000000019,0.984375,500,19,False
178,210.19999999999987,1.0,297,5,True
179,-49.10000000000007,0.90625,500,7,False
180,168.19999999999996,1.0,417,10,True
181,199.3,1.0,306,2,True
182,205.59999999999988,1.0,325,3,True
183,179.99999999999994,1.0,448,4,True
184,194.89999999999998,1.0,369,8,True
185,209.49999999999997,1.0,292,6,True
186,-44.6500000000001,0.984375,500,15,False
187,225.79999999999995,1.0,203,0,True
188,203.99999999999997,1.0,326,7,True
189,178.59999999999997,1.0,433,5,True
190,230.09999999999994,1.0,181,1,True
191,-31.700000000000063,0.96875,500,4,False
192,222.7999999999999,1.0,230,5,True
193,188.49999999999991,1.0,451,3,True
194,215.69999999999996,1.0,239,5,True
195,202.19999999999996,1.0,330,6,True
196,227.39999999999995,1.0,184,2,True
197,-38.150000000000105,0.984375,500,8,False
198,225.2999999999999,1.0,222,2,True
199,231.59999999999994,1.0,184,0,True
200,-35.65000000000015,0.984375,500,18,False
201,213.79999999999984,1.0,290,2,True
202,-36.35000000000004,0.984375,500,15,False
203,204.2999999999999,1.0,325,5,True
204,-33.75000000000007,0.984375,500,13,False
205,-41.150000000000034,0.984375,500,7,False
206,217.69999999999985,1.0,289,0,True
207,-33.35000000000006,0.984375,500,6,False
208,173.89999999999998,1.0,410,0,True
209,180.89999999999995,1.0,345,14,True
210,184.8,1.0,358,15,True
211,169.30000000000004,1.0,431,9,True
212,193.99999999999994,1.0,364,7,True
213,208.4,1.0,249,2,True
214,188.99999999999994,1.0,403,6,True
215,-30.55000000000009,0.984375,500,5,False
216,221.79999999999993,1.0,233,1,True
217,205.39999999999995,1.0,308,3,True
218,200.79999999999984,1.0,348,7,True
219,-23.150000000000116,0.984375,500,5,False
220,-30.65000000000008,0.984375,500,4,False
221,-27.150000000000087,0.984375,500,5,False
222,-31.350000000000076,0.984375,500,6,False
223,-19.20000000000012,0.96875,500,7,False
224,204.19999999999987,1.0,318,10,True
225,185.19999999999993,1.0,428,5,True
226,186.1,1.0,407,7,True
227,198.6999999999999,1.0,298,1,True
228,205.29999999999993,1.0,315,5,True
229,196.69999999999987,1.0,367,3,True
230,199.09999999999985,1.0,367,7,True
231,-23.250000000000068,0.984375,500,6,False
232,-27.850000000000033,0.984375,500,5,False
233,198.89999999999995,1.0,322,6,True
234,-39.550000000000125,0.984375,500,1,False
235,-31.4500000000001,0.984375,500,8,False
236,-20.550000000000097,0.984375,500,2,False
237,221.89999999999986,1.0,239,1,True
238,187.99999999999991,1.0,383,0,True
239,222.59999999999982,1.0,259,4,True
240,225.59999999999988,1.0,216,0,True
241,-28.250000000000064,0.984375,500,3,False
242,-42.7500000000001,0.984375,500,13,False
243,-35.25000000000008,0.984375,500,12,False
244,-23.5500000000001,0.984375,500,10,False
245,-33.55000000000002,0.984375,500,7,False
246,-19.65000000000007,0.984375,500,3,False
247,208.59999999999988,1.0,329,4,True
248,205.19999999999993,1.0,327,7,True
