episode,total_reward,coverage_pct,steps,total_collisions,terminated
3,-48.50000000000011,0.875,500,9,False
4,208.19999999999993,1.0,297,3,True
5,188.90000000000003,1.0,358,3,True
6,-36.150000000000034,0.984375,500,6,False
7,207.6,1.0,271,0,True
8,207.79999999999998,1.0,285,8,True
9,227.1999999999999,1.0,211,0,True
10,-51.55000000000007,0.953125,500,5,False
11,197.69999999999996,1.0,338,13,True
12,-56.55000000000006,0.953125,500,27,False
13,-49.10000000000014,0.96875,500,5,False
14,197.79999999999998,1.0,328,11,True
15,172.99999999999997,1.0,475,13,True
16,-51.15000000000013,0.859375,500,20,False
17,-42.050000000000146,0.984375,500,13,False
18,184.19999999999996,1.0,365,2,True
19,213.19999999999993,1.0,264,6,True
20,211.3999999999999,1.0,284,0,True
21,179.6,1.0,405,9,True
22,-37.450000000000074,0.984375,500,3,False
23,168.49999999999994,1.0,472,3,True
24,-40.05000000000006,0.984375,500,3,False
25,213.99999999999994,1.0,212,13,True
26,-40.70000000000004,0.96875,500,2,False
27,-44.2000000000001,0.9375,500,6,False
28,168.89999999999995,1.0,490,8,True
29,-36.050000000000125,0.953125,500,6,False
30,-44.35000000000003,0.984375,500,8,False
31,204.19999999999993,1.0,304,1,True
32,195.49999999999991,1.0,347,3,True
33,195.79999999999995,1.0,305,12,True
34,205.7999999999999,1.0,305,3,True
35,199.59999999999994,1.0,330,8,True
36,171.79999999999995,1.0,447,6,True
37,186.09999999999997,1.0,378,15,True
38,202.49999999999986,1.0,325,4,True
39,198.29999999999998,1.0,338,7,True
40,-43.05000000000007,0.953125,500,6,False
41,208.19999999999996,1.0,299,0,True
42,-37.700000000000074,0.96875,500,3,False
43,215.29999999999998,1.0,221,0,True
44,-41.250000000000085,0.984375,500,8,False
45,-41.850000000000016,0.984375,500,7,False
46,220.0999999999999,1.0,247,1,True
47,-46.20000000000009,0.984375,500,7,False
48,200.39999999999995,1.0,314,1,True
49,-32.85000000000011,0.984375,500,2,False
50,203.09999999999994,1.0,301,4,True
51,-38.450000000000095,0.953125,500,6,False
52,217.49999999999991,1.0,240,1,True
53,218.99999999999997,1.0,237,3,True
54,208.69999999999993,1.0,260,3,True
55,172.29999999999995,1.0,468,11,True
56,202.6,1.0,310,3,True
57,173.79999999999998,1.0,478,3,True
58,191.5999999999999,1.0,416,10,True
59,181.0999999999999,1.0,430,2,True
60,208.19999999999996,1.0,302,0,True
61,195.79999999999995,1.0,368,2,True
62,223.94999999999993,1.0,217,3,True
63,226.99999999999997,1.0,183,3,True
64,198.79999999999995,1.0,359,0,True
65,198.19999999999996,1.0,326,6,True
66,181.6999999999999,1.0,411,6,True
67,170.49999999999997,1.0,387,20,True
68,-36.35000000000016,0.984375,500,2,False
69,207.1,1.0,241,0,True
70,178.39999999999992,1.0,419,8,True
71,220.5999999999999,1.0,231,0,True
72,-37.900000000000084,0.984375,500,5,False
73,191.19999999999993,1.0,379,0,True
74,213.19999999999996,1.0,254,3,True
75,213.49999999999994,1.0,256,1,True
76,199.70000000000002,1.0,274,12,True
77,194.7999999999999,1.0,342,0,True
78,-31.350000000000158,0.984375,500,3,False
79,195.29999999999998,1.0,313,5,True
80,-42.550000000000125,0.984375,500,22,False
81,190.09999999999994,1.0,363,4,True
82,158.4999999999999,1.0,453,18,True
83,-45.85000000000009,0.984375,500,5,False
84,192.4,1.0,319,0,True
85,196.79999999999993,1.0,341,0,True
86,-42.250000000000135,0.984375,500,1,False
87,193.59999999999997,1.0,317,3,True
88,169.99999999999991,1.0,395,1,True
89,-42.25000000000016,0.984375,500,12,False
90,219.19999999999993,1.0,212,4,True
91,187.9,1.0,353,0,True
92,-44.45000000000015,0.984375,500,8,False
93,165.19999999999996,1.0,423,2,True
94,211.19999999999996,1.0,235,8,True
95,173.3,1.0,373,0,True
96,-52.65000000000013,0.984375,500,2,False
97,213.89999999999995,1.0,245,5,True
98,190.2,1.0,379,1,True
99,204.79999999999995,1.0,317,3,True
100,199.2,1.0,268,0,True
101,195.79999999999998,1.0,343,2,True
102,-55.950000000000124,0.984375,500,1,False
103,213.29999999999998,1.0,223,1,True
104,169.79999999999995,1.0,456,0,True
105,174.39999999999995,1.0,418,7,True
106,215.79999999999995,1.0,219,4,True
107,183.00000000000003,1.0,318,13,True
108,212.89999999999992,1.0,247,0,True
109,-41.35000000000008,0.984375,500,1,False
110,156.09999999999988,1.0,477,1,True
111,226.19999999999993,1.0,183,0,True
112,-49.3500000000001,0.984375,500,1,False
113,-47.75000000000011,0.984375,500,2,False
114,178.39999999999998,1.0,402,8,True
115,214.79999999999995,1.0,218,0,True
116,-50.850000000000115,0.984375,500,2,False
117,172.30000000000004,1.0,342,11,True
118,213.2,1.0,247,3,True
119,225.39999999999995,1.0,199,4,True
120,216.89999999999998,1.0,210,0,True
121,200.89999999999995,1.0,296,4,True
122,168.79999999999995,1.0,393,7,True
123,222.79999999999993,1.0,198,4,True
124,221.79999999999987,1.0,246,6,True
125,222.19999999999996,1.0,191,1,True
126,203.59999999999997,1.0,313,3,True
127,-38.850000000000115,0.984375,500,4,False
128,178.79999999999984,1.0,471,5,True
129,227.1999999999999,1.0,204,0,True
130,161.39999999999998,1.0,491,2,True
131,176.29999999999987,1.0,463,2,True
132,199.99999999999997,1.0,298,1,True
133,204.49999999999997,1.0,286,3,True
134,200.79999999999995,1.0,317,3,True
135,201.89999999999992,1.0,308,3,True
136,184.79999999999995,1.0,391,4,True
137,188.49999999999997,1.0,340,0,True
138,216.39999999999992,1.0,238,4,True
139,-49.75000000000023,0.984375,500,3,False
140,209.99999999999991,1.0,265,0,True
141,169.9,1.0,419,3,True
142,181.29999999999995,1.0,401,5,True
143,230.5999999999999,1.0,178,0,True
144,197.6,1.0,284,6,True
145,216.89999999999995,1.0,226,0,True
146,178.89999999999998,1.0,401,4,True
147,221.69999999999993,1.0,215,3,True
148,211.89999999999995,1.0,246,6,True
149,172.89999999999992,1.0,408,7,True
