episode,total_reward,coverage_pct,steps,total_collisions,terminated
3,170.49999999999994,1.0,467,2,True
4,164.39999999999992,1.0,449,17,True
5,-46.150000000000134,0.984375,500,9,False
6,-37.95000000000007,0.984375,500,15,False
7,202.39999999999995,1.0,287,0,True
8,168.9,1.0,474,6,True
9,-56.6500000000002,0.984375,500,23,False
10,-38.85000000000004,0.984375,500,11,False
11,-55.900000000000105,0.96875,500,21,False
12,205.3,1.0,297,3,True
13,201.49999999999994,1.0,319,7,True
14,207.5,1.0,269,6,True
15,190.40000000000003,1.0,359,2,True
16,192.20000000000002,1.0,332,4,True
17,201.49999999999994,1.0,309,5,True
18,210.59999999999994,1.0,265,1,True
19,-50.25000000000002,0.984375,500,5,False
20,207.5,1.0,274,2,True
21,177.7,1.0,415,4,True
22,159.69999999999987,1.0,446,6,True
23,162.5999999999999,1.0,473,2,True
24,160.4999999999999,1.0,493,0,True
25,168.49999999999997,1.0,453,1,True
26,203.69999999999996,1.0,300,4,True
27,186.89999999999998,1.0,338,8,True
28,170.19999999999993,1.0,396,9,True
29,198.29999999999995,1.0,325,0,True
30,-55.80000000000008,0.96875,500,8,False
31,200.49999999999994,1.0,291,1,True
32,155.2999999999999,1.0,463,5,True
33,178.60000000000002,1.0,393,1,True
34,-54.8500000000001,0.984375,500,3,False
35,162.99999999999994,1.0,415,7,True
36,191.3,1.0,325,0,True
37,209.59999999999997,1.0,229,0,True
38,184.2,1.0,378,2,True
39,-43.5500000000001,0.984375,500,3,False
40,-47.800000000000125,0.96875,500,2,False
41,219.49999999999997,1.0,214,0,True
42,200.49999999999997,1.0,285,3,True
43,182.0,1.0,366,0,True
44,156.19999999999993,1.0,490,2,True
45,-53.25000000000013,0.984375,500,1,False
46,-56.20000000000008,0.96875,500,2,False
47,206.09999999999997,1.0,259,3,True
48,-56.5000000000002,0.96875,500,1,False
49,-39.35000000000003,0.984375,500,4,False
50,172.79999999999998,1.0,424,0,True
51,204.69999999999996,1.0,299,0,True
52,181.49999999999997,1.0,391,5,True
53,171.89999999999998,1.0,404,2,True
54,178.79999999999995,1.0,404,4,True
55,-46.05000000000003,0.984375,500,3,False
56,218.99999999999991,1.0,234,1,True
57,186.7,1.0,389,0,True
58,204.49999999999997,1.0,299,0,True
59,215.19999999999987,1.0,243,5,True
60,-39.20000000000017,0.96875,500,1,False
61,163.09999999999994,1.0,447,7,True
62,162.39999999999998,1.0,443,15,True
63,207.49999999999994,1.0,274,11,True
64,207.1,1.0,290,2,True
65,160.9999999999999,1.0,475,4,True
66,201.54999999999993,1.0,328,7,True
67,195.19999999999996,1.0,329,1,True
68,180.29999999999995,1.0,379,1,True
69,220.89999999999995,1.0,230,1,True
70,163.49999999999997,1.0,477,3,True
71,211.79999999999995,1.0,251,1,True
72,198.59999999999994,1.0,317,1,True
73,-48.25000000000004,0.984375,500,3,False
74,167.39999999999998,1.0,417,0,True
75,171.39999999999998,1.0,454,2,True
76,218.09999999999997,1.0,226,0,True
77,213.79999999999993,1.0,235,4,True
78,159.2,1.0,453,11,True
79,167.29999999999995,1.0,473,5,True
80,195.1,1.0,280,0,True
81,188.2,1.0,353,4,True
82,168.79999999999995,1.0,446,1,True
83,171.79999999999998,1.0,380,6,True
84,-50.1500000000001,0.984375,500,0,False
85,166.19999999999996,1.0,407,2,True
86,189.5,1.0,365,3,True
87,-43.55000000000009,0.984375,500,9,False
88,-49.45000000000011,0.984375,500,4,False
89,165.89999999999995,1.0,445,9,True
90,-51.75000000000008,0.984375,500,6,False
91,190.2,1.0,313,2,True
92,189.39999999999998,1.0,355,9,True
93,201.39999999999995,1.0,301,7,True
94,189.19999999999996,1.0,354,1,True
95,187.49999999999997,1.0,373,5,True
96,178.4,1.0,383,0,True
97,212.29999999999998,1.0,260,6,True
98,195.89999999999995,1.0,335,3,True
99,191.29999999999998,1.0,362,4,True
100,176.89999999999995,1.0,426,4,True
101,196.3999999999999,1.0,348,4,True
102,-49.350000000000094,0.984375,500,3,False
103,178.0999999999999,1.0,389,0,True
104,218.6999999999999,1.0,236,4,True
105,196.19999999999993,1.0,318,0,True
106,171.19999999999993,1.0,471,4,True
