episode,total_reward,coverage_pct,steps,total_collisions,terminated
1,222.99999999999997,1.0,206,3,True
2,194.7,1.0,347,2,True
3,-44.65000000000004,0.984375,500,8,False
4,156.49999999999991,1.0,484,14,True
5,209.89999999999992,1.0,277,4,True
6,215.59999999999997,1.0,230,1,True
7,183.2,1.0,359,4,True
8,-37.20000000000004,0.96875,500,11,False
9,169.4999999999999,1.0,490,7,True
10,192.60000000000002,1.0,325,5,True
11,202.69999999999993,1.0,287,11,True
12,206.7999999999999,1.0,293,0,True
13,-38.60000000000009,0.96875,500,8,False
14,-51.15000000000006,0.953125,500,15,False
15,223.19999999999993,1.0,235,0,True
16,-42.4500000000001,0.921875,500,14,False
17,194.19999999999987,1.0,359,0,True
18,156.39999999999995,1.0,489,17,True
19,170.79999999999998,1.0,408,7,True
20,201.6999999999999,1.0,315,5,True
21,218.20000000000002,1.0,212,9,True
22,192.89999999999992,1.0,376,4,True
23,212.39999999999992,1.0,275,2,True
24,185.1,1.0,371,3,True
25,211.1999999999999,1.0,284,0,True
26,215.89999999999998,1.0,246,1,True
27,207.5999999999999,1.0,301,3,True
28,-33.65000000000002,0.984375,500,3,False
29,179.3,1.0,410,8,True
30,177.4,1.0,425,8,True
31,209.39999999999992,1.0,280,3,True
32,178.29999999999998,1.0,432,7,True
33,172.6,1.0,440,10,True
34,205.0,1.0,262,9,True
35,-44.650000000000084,0.953125,500,6,False
36,198.39999999999995,1.0,323,8,True
37,-41.550000000000125,0.953125,500,2,False
38,-38.60000000000012,0.96875,500,1,False
39,173.39999999999998,1.0,398,6,True
40,-40.000000000000064,0.96875,500,1,False
41,176.60000000000002,1.0,420,4,True
42,188.5999999999999,1.0,366,3,True
43,-41.65000000000007,0.984375,500,11,False
44,167.99999999999994,1.0,496,5,True
45,-31.600000000000026,0.984375,500,5,False
46,178.4999999999999,1.0,476,7,True
47,164.69999999999993,1.0,474,1,True
48,176.89999999999992,1.0,437,11,True
49,-39.650000000000084,0.984375,500,7,False
50,183.70000000000002,1.0,417,9,True
51,169.49999999999997,1.0,473,4,True
52,180.49999999999994,1.0,409,10,True
53,213.69999999999993,1.0,232,10,True
54,195.99999999999994,1.0,329,13,True
55,190.89999999999992,1.0,368,12,True
56,217.49999999999991,1.0,252,1,True
57,-35.75000000000017,0.984375,500,4,False
58,188.9,1.0,376,8,True
59,223.69999999999993,1.0,204,4,True
60,191.65,1.0,369,6,True
61,218.29999999999993,1.0,231,6,True
62,205.8,1.0,300,4,True
63,-34.65000000000005,0.984375,500,10,False
64,-40.650000000000105,0.984375,500,12,False
65,220.59999999999994,1.0,232,3,True
66,192.5999999999999,1.0,372,2,True
67,202.5,1.0,304,2,True
68,174.69999999999993,1.0,456,1,True
69,-32.750000000000064,0.984375,500,10,False
70,188.15,1.0,357,9,True
71,242.99999999999994,1.0,126,3,True
72,-39.300000000000125,0.96875,500,11,False
73,179.60000000000008,1.0,459,1,True
74,179.99999999999997,1.0,420,3,True
75,-35.10000000000008,0.96875,500,7,False
76,-42.3500000000001,0.984375,500,13,False
77,168.09999999999997,1.0,429,6,True
78,-41.05000000000012,0.984375,500,8,False
79,201.79999999999995,1.0,320,2,True
80,209.29999999999987,1.0,322,2,True
81,-20.850000000000094,0.984375,500,5,False
82,213.29999999999995,1.0,261,2,True
83,-38.700000000000166,0.96875,500,10,False
84,213.5999999999999,1.0,271,3,True
85,200.99999999999997,1.0,320,5,True
86,-42.450000000000124,0.984375,500,16,False
87,-44.250000000000064,0.984375,500,11,False
88,194.8999999999999,1.0,390,1,True
89,194.49999999999997,1.0,381,4,True
90,212.29999999999998,1.0,263,1,True
91,190.1,1.0,408,1,True
92,195.49999999999994,1.0,346,0,True
93,178.69999999999996,1.0,456,4,True
94,173.19999999999993,1.0,398,11,True
95,185.59999999999994,1.0,417,4,True
96,-36.95000000000006,0.984375,500,10,False
97,196.89999999999995,1.0,343,1,True
98,212.89999999999995,1.0,246,3,True
99,-48.15000000000009,0.984375,500,16,False
100,195.79999999999998,1.0,334,4,True
101,178.99999999999991,1.0,457,1,True
102,-35.850000000000065,0.984375,500,13,False
103,202.9,1.0,320,8,True
104,234.09999999999994,1.0,162,0,True
105,-51.80000000000016,0.96875,500,8,False
106,-32.25000000000013,0.984375,500,5,False
107,187.39999999999992,1.0,392,3,True
108,215.2999999999999,1.0,269,4,True
109,158.69999999999987,1.0,494,2,True
110,207.89999999999995,1.0,276,4,True
111,185.20000000000002,1.0,410,6,True
112,218.59999999999994,1.0,229,1,True
113,194.89999999999995,1.0,314,1,True
114,191.39999999999998,1.0,390,4,True
115,179.99999999999991,1.0,403,4,True
116,187.0999999999999,1.0,364,9,True
117,204.99999999999997,1.0,317,3,True
118,176.2999999999999,1.0,455,7,True
119,182.6,1.0,412,8,True
120,202.39999999999995,1.0,290,5,True
121,212.39999999999995,1.0,272,1,True
122,-37.90000000000011,0.96875,500,13,False
123,195.69999999999996,1.0,356,5,True
124,196.79999999999995,1.0,339,0,True
125,176.69999999999996,1.0,431,3,True
126,179.9,1.0,384,14,True
127,220.89999999999986,1.0,246,0,True
128,-28.550000000000065,0.984375,500,6,False
129,204.99999999999991,1.0,311,5,True
130,184.29999999999998,1.0,413,6,True
131,177.7999999999999,1.0,444,4,True
132,-40.85000000000008,0.984375,500,18,False
133,212.89999999999998,1.0,252,6,True
134,194.1999999999999,1.0,358,2,True
135,185.3999999999999,1.0,460,4,True
136,239.49999999999994,1.0,129,5,True
137,184.3,1.0,348,12,True
138,-31.45000000000007,0.984375,500,8,False
139,-28.550000000000058,0.984375,500,12,False
140,206.09999999999994,1.0,325,4,True
141,-35.600000000000115,0.96875,500,10,False
142,-43.95000000000006,0.984375,500,17,False
143,-38.650000000000055,0.984375,500,5,False
144,241.09999999999994,1.0,131,0,True
145,-44.05000000000009,0.984375,500,11,False
146,-39.35000000000007,0.984375,500,2,False
147,-34.15000000000007,0.984375,500,3,False
148,215.8999999999999,1.0,263,6,True
149,205.89999999999992,1.0,274,3,True
150,191.1,1.0,340,4,True
151,216.6,1.0,229,4,True
152,189.2999999999998,1.0,414,15,True
153,196.49999999999991,1.0,371,4,True
154,218.39999999999995,1.0,233,2,True
155,187.49999999999997,1.0,403,4,True
156,174.79999999999995,1.0,452,14,True
157,209.39999999999995,1.0,273,3,True
158,181.3,1.0,422,4,True
159,-34.60000000000003,0.96875,500,5,False
160,186.3999999999999,1.0,410,6,True
161,231.89999999999986,1.0,191,3,True
162,165.39999999999992,1.0,436,13,True
163,200.79999999999993,1.0,345,2,True
164,193.49999999999997,1.0,384,6,True
165,178.99999999999997,1.0,415,2,True
166,190.89999999999995,1.0,363,5,True
167,205.39999999999986,1.0,332,3,True
168,202.89999999999992,1.0,357,6,True
169,207.39999999999998,1.0,274,0,True
170,203.5,1.0,325,5,True
171,183.09999999999994,1.0,424,7,True
172,201.99999999999991,1.0,331,2,True
173,-33.95000000000011,0.984375,500,0,False
174,168.5999999999999,1.0,497,4,True
175,223.89999999999998,1.0,187,0,True
176,-30.70000000000004,0.9375,500,7,False
177,162.79999999999993,1.0,474,5,True
178,216.09999999999988,1.0,264,7,True
179,211.59999999999994,1.0,273,3,True
180,201.99999999999994,1.0,346,3,True
