episode,total_reward,coverage_pct,steps,total_collisions,terminated
1,-35.20000000000006,0.96875,500,1,False
2,208.7999999999999,1.0,282,0,True
3,171.0999999999999,1.0,454,3,True
4,-38.55000000000012,0.984375,500,11,False
5,-34.05000000000003,0.984375,500,3,False
6,-29.35000000000013,0.984375,500,6,False
7,-53.35000000000016,0.984375,500,8,False
8,-47.650000000000105,0.984375,500,10,False
9,-47.00000000000017,0.96875,500,5,False
10,220.3999999999999,1.0,241,1,True
11,-38.400000000000155,0.96875,500,7,False
12,193.19999999999993,1.0,353,4,True
13,184.29999999999995,1.0,415,6,True
14,-42.05000000000013,0.921875,500,9,False
15,216.39999999999992,1.0,231,2,True
16,180.19999999999993,1.0,394,7,True
17,194.6999999999999,1.0,386,0,True
18,186.44999999999996,1.0,371,7,True
19,180.69999999999987,1.0,411,12,True
20,-28.700000000000117,0.96875,500,4,False
21,-42.55000000000009,0.984375,500,12,False
22,-41.95000000000011,0.984375,500,5,False
23,205.69999999999993,1.0,300,7,True
24,-32.5500000000001,0.984375,500,8,False
25,-53.6000000000001,0.96875,500,10,False
26,-55.650000000000084,0.984375,500,8,False
27,172.29999999999998,1.0,429,2,True
28,-64.40000000000008,0.9375,500,1,False
29,-54.6000000000001,0.96875,500,9,False
30,218.89999999999995,1.0,220,0,True
31,226.99999999999997,1.0,173,0,True
32,-51.70000000000013,0.90625,500,6,False
33,-58.30000000000012,0.9375,500,2,False
34,209.39999999999998,1.0,246,3,True
35,150.89999999999995,1.0,456,0,True
36,205.79999999999993,1.0,286,0,True
37,206.8,1.0,256,4,True
38,209.59999999999994,1.0,271,3,True
39,181.59999999999994,1.0,384,4,True
40,195.69999999999996,1.0,320,1,True
41,153.59999999999994,1.0,460,4,True
42,212.1,1.0,240,0,True
43,184.39999999999995,1.0,342,3,True
44,187.2,1.0,342,5,True
45,-68.7500000000001,0.96875,500,13,False
46,-73.95000000000012,0.953125,500,15,False
47,-60.35000000000017,0.953125,500,7,False
48,-38.75000000000007,0.984375,500,6,False
49,-78.0000000000001,0.96875,500,10,False
50,14.899999999999917,0.25,501,0,False
51,-53.350000000000094,0.984375,500,9,False
52,198.69999999999993,1.0,281,1,True
53,-56.3500000000001,0.953125,500,10,False
54,-42.15000000000012,0.984375,500,7,False
55,191.69999999999985,1.0,342,8,True
56,-62.55000000000015,0.984375,500,3,False
57,202.99999999999994,1.0,284,1,True
58,-47.20000000000009,0.96875,500,5,False
59,-49.85000000000003,0.984375,500,3,False
60,179.89999999999998,1.0,362,3,True
61,195.60000000000002,1.0,272,0,True
